beer_id,style_key,ave_rating,Astringency,Body,Alcohol,beer_id-3,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
100,3,4.83,0,0,0,100,0,0,0,0,0,0,0,0
4121,94,4.81,3,53,33,4121,7,40,0,0,0,2,43,45
1551,38,4.76,16,42,18,1551,91,40,55,0,76,117,2,30
1578,38,4.76,17,58,11,1578,52,93,109,1,217,64,3,15
5270,121,4.75,13,26,3,5270,10,47,109,0,89,13,12,14
1594,38,4.75,13,70,14,1594,52,100,89,0,182,56,3,23
1528,37,4.75,23,46,14,1528,73,29,40,0,49,106,4,19
1085,27,4.74,1,0,1,1085,0,1,0,0,1,2,0,0
3855,89,4.73,6,65,28,3855,82,48,3,0,8,9,26,143
1585,38,4.71,18,71,8,1585,56,108,106,1,211,67,2,23
3857,89,4.7,3,116,57,3857,47,112,4,1,8,18,21,150
1573,38,4.69,28,84,17,1573,92,115,108,1,209,104,11,30
5167,119,4.69,21,17,2,5167,4,66,112,1,107,16,1,5
1502,37,4.69,26,29,9,1502,58,51,49,0,80,85,1,32
4293,98,4.68,2,48,39,4293,19,87,10,0,54,2,19,100
1552,38,4.68,24,43,5,1552,51,60,97,1,171,49,4,19
1599,38,4.68,20,60,11,1599,48,93,119,3,207,67,3,16
1544,37,4.67,17,32,23,1544,82,54,67,1,109,102,4,30
1557,38,4.67,25,30,8,1557,68,50,79,0,139,88,3,24
5220,120,4.66,31,23,5,5220,5,48,137,0,65,10,1,9
1541,37,4.66,34,39,16,1541,73,52,64,1,124,97,3,26
4354,100,4.66,5,44,49,4354,14,86,21,0,53,5,12,57
3852,89,4.66,5,69,69,3852,41,83,9,0,36,8,24,134
3057,71,4.66,10,105,50,3057,63,160,2,7,7,11,35,187
5537,126,4.65,36,24,6,5537,6,48,121,1,105,12,4,10
5172,119,4.65,23,22,4,5172,2,44,96,0,74,7,5,13
4103,94,4.65,7,74,66,4103,33,62,6,0,18,11,20,105
3851,89,4.65,9,114,102,3851,79,77,4,0,4,31,20,183
1587,38,4.64,17,62,15,1587,79,90,94,0,201,92,13,28
1147,28,4.64,1,2,4,1147,0,16,6,0,6,2,5,6
4264,98,4.63,11,63,77,4264,13,154,23,0,68,13,35,140
2002,48,4.63,33,47,14,2002,79,48,72,4,92,115,8,64
3900,89,4.63,7,111,68,3900,33,74,3,1,4,16,79,133
5518,126,4.62,26,24,9,5518,4,90,90,0,69,6,3,11
5527,126,4.62,20,27,3,5527,6,46,132,0,85,5,10,11
1561,38,4.62,44,51,11,1561,86,63,117,1,169,83,10,19
3869,89,4.62,5,69,21,3869,42,52,9,0,17,3,90,79
1555,38,4.62,22,20,9,1555,38,44,65,0,105,31,0,8
5231,120,4.62,26,32,4,5231,15,31,155,1,78,14,4,8
1566,38,4.62,15,41,17,1566,55,55,83,2,140,77,3,26
5174,119,4.61,26,23,6,5174,4,80,98,1,77,5,3,8
4144,94,4.61,2,66,53,4144,15,78,8,0,15,2,12,85
1554,38,4.6,16,50,13,1554,57,53,72,2,126,71,6,20
5510,126,4.6,22,38,9,5510,5,26,123,3,72,20,7,9
1567,38,4.6,22,40,12,1567,60,54,68,0,140,61,5,14
1575,38,4.6,42,54,12,1575,46,89,96,4,200,60,9,21
1569,38,4.6,24,67,5,1569,87,83,102,0,185,101,4,35
1586,38,4.6,17,31,14,1586,68,32,49,1,58,91,7,29
1553,38,4.59,24,38,14,1553,98,62,90,0,131,111,2,28
5513,126,4.59,28,21,15,5513,10,40,171,0,77,15,3,14
